FEATURE,FEATURE_IMPORTANCE_MEAN,FEATURE_IMPORTANCE_STDEV
Angle (degrees) Ear_right-Lat_right-Tail_end_FEATURE_SUBSET,0.0010212682081569705,0.0016886614696240178
Distance (mm) Nose-Tail_end_FEATURE_SUBSET,0.0010192836630677007,0.0019260775237755427
Centroid_movement_M1_median_15,0.0010175236286258896,0.0012505224396523837
Animal_1 three-point convex hull perimeter (mm) Nose-Center-Lat_left_FEATURE_SUBSET,0.001016939191494272,0.002354376599134337
Angle (degrees) Ear_left-Center-Lat_right_FEATURE_SUBSET,0.001013966737424739,0.002550386909783678
Total_movement_all_bodyparts_deviation,0.0010117297310861862,0.0016828083120240137
Animal_1 four-point convex perimeter (mm) Ear_left-Nose-Center-Tail_base_FEATURE_SUBSET,0.0010113121159596916,0.0029728608555905194
Distance (mm) Nose-Lat_left_FEATURE_SUBSET,0.001009589421984735,0.0022630588007139505
Animal_1 three-point convex hull perimeter (mm) Ear_left-Nose-Center_FEATURE_SUBSET,0.0010091686950885273,0.002591914583480851
Mouse_polygon_deviation,0.0010082782193296409,0.0014868989458869664
Animal_1 four-point convex perimeter (mm) Ear_left-Ear_right-Center-Lat_left_FEATURE_SUBSET,0.0010021307415212552,0.0030043151699508754
Animal_1 three-point convex hull perimeter (mm) Center-Lat_left-Tail_base_FEATURE_SUBSET,0.000994358007988783,0.0013473433385787366
Angle (degrees) Ear_right-Center-Lat_right_FEATURE_SUBSET,0.0009909408791436629,0.002397721659113676
Animal_1 four-point convex perimeter (mm) Ear_right-Nose-Lat_left-Lat_right_FEATURE_SUBSET,0.0009846050462718303,0.002539728931239406
Animal_1 four-point convex perimeter (mm) Ear_left-Center-Lat_left-Lat_right_FEATURE_SUBSET,0.0009831674306751176,0.0023721567299495273
M1_largest_euclid_distances_hull_deviation,0.0009788610329258738,0.0013662371813018426
Animal_1 three-point convex hull perimeter (mm) Nose-Lat_left-Lat_right_FEATURE_SUBSET,0.0009764181076282671,0.002362610528601661
Mouse1_largest_euclid_distances_median_15,0.0009680731608528952,0.0013052600823531364
Animal_1 four-point convex perimeter (mm) Ear_right-Center-Lat_left-Tail_base_FEATURE_SUBSET,0.0009672894845062201,0.002802104028613293
Animal_1 three-point convex hull perimeter (mm) Center-Lat_right-Tail_base_FEATURE_SUBSET,0.0009644814674459066,0.0013002087821034694
Animal_1 three-point convex hull perimeter (mm) Nose-Center-Tail_base_FEATURE_SUBSET,0.0009637018449618973,0.0026440820364890282
Mouse_Centroid_to_lateral_left,0.0009630720558131085,0.0010796158923280419
Animal_1 four-point convex perimeter (mm) Ear_left-Ear_right-Lat_left-Lat_right_FEATURE_SUBSET,0.000959687527394884,0.0028125956763654474
Animal_1 four-point convex perimeter (mm) Ear_right-Lat_left-Lat_right-Tail_base_FEATURE_SUBSET,0.0009524350962411048,0.002394540105104322
Total_movement_M1_mean_15,0.0009518361337642234,0.0013392225710695414
Distance (mm) Center-Ear_left_FEATURE_SUBSET,0.0009450279627060369,0.001589659684568513
Distance (mm) Tail_end-Center_FEATURE_SUBSET,0.0009439200553130378,0.0015430750861078705
Animal_1 three-point convex hull perimeter (mm) Center-Tail_base-Tail_end_FEATURE_SUBSET,0.0009400875060364501,0.0016117236223933066
Animal_1 four-point convex perimeter (mm) Nose-Lat_right-Tail_base-Tail_end_FEATURE_SUBSET,0.0009379969199946046,0.0024520180347735363
Animal_1 three-point convex hull perimeter (mm) Ear_right-Lat_left-Tail_base_FEATURE_SUBSET,0.0009373455814310711,0.002349100200541091
Nose_movement_M1_mean_2,0.0009347593629949312,0.0018051546368171073
Mouse1_smallest_euclid_distances_mean_15,0.0009303512425362079,0.0016623624075612277
Mouse_Nose_to_centroid,0.0009293709030239024,0.0017557284837817664
Tail_end_relative_to_tail_base_centroid_nose_M1_7.5,0.0009250779757412528,0.00283865904035633
Distance (mm) Ear_left-Lat_left_FEATURE_SUBSET,0.0009211470690254459,0.00222012590407433
Angle (degrees) Ear_right-Nose-Tail_end_FEATURE_SUBSET,0.0009188503033992254,0.001357167903571755
Animal_1 three-point convex hull perimeter (mm) Lat_right-Tail_base-Tail_end_FEATURE_SUBSET,0.000913040441826366,0.0015157759547492727
Distance (mm) Center-Ear_right_FEATURE_SUBSET,0.0009056124700095164,0.0016556993244178533
Total_movement_M1_sum_15,0.0009034587670475261,0.0013083194150377182
Angle (degrees) Center-Lat_left-Tail_base_FEATURE_SUBSET,0.0009009445417077354,0.0015011440634380732
Animal_1 three-point convex hull perimeter (mm) Ear_left-Lat_left-Lat_right_FEATURE_SUBSET,0.0008993593994470265,0.0032356551040011406
Animal_1 four-point convex perimeter (mm) Center-Lat_right-Tail_base-Tail_end_FEATURE_SUBSET,0.000893848956143715,0.0017349124185248132
Mouse1_smallest_euclid_distances_mean_15_percentile_rank,0.0008918843716140977,0.0010868590887953716
Angle (degrees) Ear_left-Nose-Center_FEATURE_SUBSET,0.0008910090134937188,0.0011849480199617381
Distance (mm) Tail_end-Lat_left_FEATURE_SUBSET,0.0008867894358688607,0.0012509803441803494
Animal_1 three-point convex hull perimeter (mm) Ear_left-Ear_right-Lat_left_FEATURE_SUBSET,0.0008821346063287846,0.002590965821332838
Mouse1_mean_euclid_distances_median_15,0.0008686790194713422,0.0014656871378348328
Angle (degrees) Ear_right-Nose-Lat_left_FEATURE_SUBSET,0.0008680642840459179,0.001125624006811326
Animal_1 four-point convex perimeter (mm) Ear_right-Center-Lat_left-Lat_right_FEATURE_SUBSET,0.0008625594664219553,0.0013792988994167739
Angle (degrees) Ear_left-Nose-Tail_end_FEATURE_SUBSET,0.0008570623893529401,0.0009847164964439695
Animal_1 four-point convex perimeter (mm) Nose-Lat_left-Tail_base-Tail_end_FEATURE_SUBSET,0.0008554924842312383,0.001910976937486216
Tail_end_movement_M1_median_7.5,0.0008500524884277614,0.0011512030285016838
Mouse1_smallest_euclid_distances_sum_15,0.0008499366923880404,0.0013462931327298821
Tail_base_movement_M1_mean_15,0.0008494723400789588,0.0010258707510565998
Mouse_poly_area,0.0008486681614074341,0.0017791150829696788
Mouse1_smallest_euclid_distances_median_15,0.0008470999020983172,0.001072478060585543
Distance (mm) Lat_right-Ear_right_FEATURE_SUBSET,0.0008455083694280845,0.0016670485358400327
Animal_1 three-point convex hull perimeter (mm) Center-Lat_left-Lat_right_FEATURE_SUBSET,0.0008412938817001411,0.0012163702607263245
Distance (mm) Tail_end-Ear_left_FEATURE_SUBSET,0.000840128948554829,0.0013282023057270777
Animal_1 four-point convex perimeter (mm) Ear_left-Lat_left-Tail_base-Tail_end_FEATURE_SUBSET,0.0008395668705657545,0.0017015287400735774
Total_movement_M1_median_15,0.0008380988110365479,0.0010534740235790226
Mouse1_smallest_euclid_distances_mean_15_deviation,0.0008342895297240817,0.0009253168897022894
Animal_1 three-point convex hull perimeter (mm) Ear_left-Nose-Tail_end_FEATURE_SUBSET,0.0008321909512236273,0.0013526029526906482
Mouse1_width_median_7.5,0.0008281091719902591,0.0010095579409906176
Distance (mm) Lat_right-Tail_end_FEATURE_SUBSET,0.0008264535716631473,0.0012526936734178718
Tail_base_movement_M1_sum_15,0.0008209975623199454,0.0010305047151564304
Tail_base_movement_M1_median_15,0.0008207544896197775,0.0009465151821547565
Animal_1 four-point convex perimeter (mm) Ear_left-Nose-Tail_base-Tail_end_FEATURE_SUBSET,0.0008133602035989511,0.0016794325318839308
M1_largest_euclidean_distance_hull,0.0008068834063707888,0.0017850582375717272
Animal_1 four-point convex perimeter (mm) Center-Lat_left-Tail_base-Tail_end_FEATURE_SUBSET,0.0008056593293192035,0.001177104887708922
Mouse1_width_mean_7.5,0.0008051355389613431,0.0010576549956517124
M1_mean_euclid_distances_hull_deviation,0.000803895032076901,0.0014427636171034273
Animal_1 three-point convex hull perimeter (mm) Ear_right-Nose-Tail_end_FEATURE_SUBSET,0.0008016581844042258,0.0012677503037666338
Mouse1_width_median_6,0.0007973989191126321,0.0009634776525987124
Tail_end_movement_M1_median_6,0.0007970290057533794,0.0011824271545539831
Animal_1 three-point convex hull perimeter (mm) Lat_left-Tail_base-Tail_end_FEATURE_SUBSET,0.000786598167935225,0.001120615636722952
Mouse1_mean_euclid_distances_mean_15,0.0007853091766551363,0.001603958874201964
Animal_1 three-point convex hull perimeter (mm) Nose-Lat_left-Tail_end_FEATURE_SUBSET,0.0007847030281893487,0.0015329101637219847
Animal_1 four-point convex perimeter (mm) Ear_left-Ear_right-Nose-Tail_end_FEATURE_SUBSET,0.00078251669411684,0.0011731649376147848
Animal_1 three-point convex hull perimeter (mm) Lat_left-Lat_right-Tail_base_FEATURE_SUBSET,0.0007822034298629839,0.0011636941955486435
Mouse1_width_median_5,0.000779610120870969,0.0009979227096081707
Animal_1 three-point convex hull perimeter (mm) Ear_right-Center-Lat_left_FEATURE_SUBSET,0.000775911731717938,0.0012431255214123574
Mouse1_mean_euclid_distances_sum_15,0.0007726594311569083,0.0015988483861543122
