FEATURE,FEATURE_IMPORTANCE_MEAN,FEATURE_IMPORTANCE_STDEV
Angle (degrees) Ear_right-Center-Tail_base_FEATURE_SUBSET,0.0009942845816100414,0.0012735501164268554
Animal_1 three-point convex hull perimeter (mm) Center-Lat_right-Tail_base_FEATURE_SUBSET,0.0009940513154384366,0.0011894276959519062
Total_movement_M1_mean_15,0.0009940506167452927,0.0013045283363941511
Tail_end_movement_M1_median_7.5,0.0009908926817276023,0.0012026074956004544
Animal_1 four-point convex perimeter (mm) Ear_left-Ear_right-Nose-Tail_base_FEATURE_SUBSET,0.0009844244570711396,0.002461694586830153
Mouse1_smallest_euclid_distances_mean_6_percentile_rank,0.0009803060667441278,0.0011331430292222957
Animal_1 four-point convex perimeter (mm) Ear_left-Nose-Center-Tail_base_FEATURE_SUBSET,0.0009800660218740175,0.0034222717327261586
Mouse1_smallest_euclid_distances_mean_6_deviation,0.0009784136928869603,0.0011123467598943896
Mouse1_width_median_7.5,0.0009759297764606742,0.0012423985202310184
Mouse1_width_median_5,0.0009698807521611867,0.0013283852433719143
Distance (mm) Tail_end-Lat_left_FEATURE_SUBSET,0.0009665739909209062,0.00118712009271574
Angle (degrees) Ear_left-Ear_right-Tail_base_FEATURE_SUBSET,0.0009665476159373385,0.0012297929661873595
Mouse1_width_median_6,0.00096442258256911,0.0013465237050948793
Total_movement_M1_sum_15,0.0009636469016523333,0.0011124393665073466
Distance (mm) Center-Ear_right_FEATURE_SUBSET,0.0009616649335604942,0.0013910595768057536
Total_movement_M1_mean_5_percentile_rank,0.000961449795734427,0.0013406406893477433
Animal_1 three-point convex hull perimeter (mm) Ear_left-Ear_right-Tail_base_FEATURE_SUBSET,0.0009595928800831435,0.0017375522485006663
Mouse_polygon_deviation,0.0009512308219425324,0.001587416415915836
Angle (degrees) Ear_right-Center-Lat_right_FEATURE_SUBSET,0.0009511092596982116,0.0010590980268719533
Angle (degrees) Ear_right-Lat_right-Tail_end_FEATURE_SUBSET,0.0009453285985515206,0.0011867387183015217
Nose_movement_M1_median_2,0.0009441583741811925,0.0012985061317613727
Mouse1_width_mean_15,0.0009441416502064703,0.0010175689161797622
Animal_1 four-point convex perimeter (mm) Ear_right-Center-Lat_left-Tail_base_FEATURE_SUBSET,0.0009435783411950739,0.0014833548753071554
Animal_1 four-point convex perimeter (mm) Ear_right-Lat_left-Lat_right-Tail_base_FEATURE_SUBSET,0.0009414752672383301,0.0014761796549201092
Mouse1_width_sum_15,0.0009345260196891337,0.000991536148846071
Angle (degrees) Ear_left-Nose-Lat_left_FEATURE_SUBSET,0.0009341870229087973,0.0012802582283613668
Animal_1 four-point convex perimeter (mm) Ear_right-Center-Lat_left-Lat_right_FEATURE_SUBSET,0.0009333014307091849,0.0013636609434896003
Animal_1 four-point convex perimeter (mm) Center-Lat_left-Lat_right-Tail_base_FEATURE_SUBSET,0.0009318846563503299,0.0011111415616773907
Animal_1 four-point convex perimeter (mm) Ear_left-Ear_right-Tail_base-Tail_end_FEATURE_SUBSET,0.0009302155101466487,0.0020796195887174017
Angle (degrees) Ear_right-Nose-Lat_right_FEATURE_SUBSET,0.0009298235221474415,0.0012417190419091633
Distance (mm) Lat_right-Tail_end_FEATURE_SUBSET,0.0009282188345374058,0.0012809871212381904
Animal_1 three-point convex hull perimeter (mm) Ear_right-Center-Lat_left_FEATURE_SUBSET,0.0009240850793595754,0.0013432698002010628
Animal_1 four-point convex perimeter (mm) Ear_left-Center-Lat_left-Tail_base_FEATURE_SUBSET,0.000921664943368714,0.0014233836858527308
Nose_movement_M1_mean_2,0.0009180129697987003,0.0012594907029858694
Animal_1 three-point convex hull perimeter (mm) Ear_left-Nose-Tail_base_FEATURE_SUBSET,0.00091544595459292,0.0024249611970610144
Angle (degrees) Ear_left-Ear_right-Lat_right_FEATURE_SUBSET,0.0009141591192726744,0.0011996261037189638
Animal_1 three-point convex hull perimeter (mm) Ear_left-Center-Tail_base_FEATURE_SUBSET,0.0009140176912036901,0.001486239746400459
Mouse1_smallest_euclid_distances_mean_5_deviation,0.0009137206959532167,0.001070766378354751
M1_mean_euclid_distances_hull_deviation,0.0009132344051124098,0.0018572273528587686
Angle (degrees) Center-Lat_left-Tail_base_FEATURE_SUBSET,0.0009097820540263227,0.0009837834818379066
Tail_end_movement_M1_sum_7.5,0.0009072235021674019,0.0011430634693821659
Mouse1_largest_euclid_distances_sum_15,0.0009044301329770749,0.0014277664066935447
Animal_1 four-point convex perimeter (mm) Ear_right-Nose-Lat_right-Tail_base_FEATURE_SUBSET,0.0009031162330746645,0.0025868717622159155
Mouse1_largest_euclid_distances_mean_15,0.0009026241860890148,0.0013101731176871376
Mouse1_mean_euclid_distances_median_7.5,0.0009019556404954646,0.002252042085489446
Animal_1 three-point convex hull perimeter (mm) Center-Lat_right-Tail_end_FEATURE_SUBSET,0.0009015169267640044,0.0013016887933023447
Nose_movement_M1_sum_2,0.0008991522018164942,0.0012527979476403485
Animal_1 four-point convex perimeter (mm) Ear_left-Center-Lat_right-Tail_base_FEATURE_SUBSET,0.0008983716314621549,0.0013777024758212417
Animal_1 four-point convex perimeter (mm) Ear_left-Ear_right-Lat_right-Tail_base_FEATURE_SUBSET,0.0008980509216422243,0.0015928059877737266
Animal_1 three-point convex hull perimeter (mm) Ear_left-Center-Lat_left_FEATURE_SUBSET,0.0008975642877824037,0.0012885437617101854
Distance (mm) Tail_end-Center_FEATURE_SUBSET,0.0008974007038220133,0.001394052336931537
Animal_1 three-point convex hull perimeter (mm) Lat_left-Tail_base-Tail_end_FEATURE_SUBSET,0.0008973331538330505,0.0011147810514803437
Distance (mm) Nose-Tail_end_FEATURE_SUBSET,0.0008971207981899454,0.0015222255529023887
Animal_1 three-point convex hull perimeter (mm) Nose-Center-Tail_base_FEATURE_SUBSET,0.0008908000436708279,0.0019222956645810372
Mouse1_mean_euclid_distances_mean_7.5_percentile_rank,0.0008907653364929188,0.0019250976263922531
Animal_1 four-point convex perimeter (mm) Center-Lat_right-Tail_base-Tail_end_FEATURE_SUBSET,0.0008906932327316956,0.0012890064742580875
Animal_1 three-point convex hull perimeter (mm) Ear_left-Lat_left-Tail_base_FEATURE_SUBSET,0.0008892016497543054,0.001154028225651778
Distance (mm) Lat_right-Ear_left_FEATURE_SUBSET,0.0008888780200615505,0.0010543489877341795
Animal_1 three-point convex hull perimeter (mm) Ear_left-Lat_right-Tail_base_FEATURE_SUBSET,0.0008865299259456304,0.001468259113726341
Mouse1_mean_euclid_distances_mean_6_deviation,0.0008850576967957644,0.0018463496884782847
Animal_1 three-point convex hull perimeter (mm) Ear_right-Lat_left-Lat_right_FEATURE_SUBSET,0.0008845696112800323,0.0013299587208371304
Angle (degrees) Ear_left-Lat_right-Tail_base_FEATURE_SUBSET,0.0008845291100091852,0.001143791972434394
Animal_1 three-point convex hull perimeter (mm) Lat_left-Lat_right-Tail_base_FEATURE_SUBSET,0.0008837678838388652,0.0010518418131889766
Mouse1_smallest_euclid_distances_median_7.5,0.0008809423331027349,0.001100003228160174
Mouse1_smallest_euclid_distances_mean_5_percentile_rank,0.0008795214564012735,0.001005516319049711
Animal_1 three-point convex hull perimeter (mm) Center-Tail_base-Tail_end_FEATURE_SUBSET,0.0008791378506722395,0.0013192888720618909
Angle (degrees) Ear_left-Lat_left-Lat_right_FEATURE_SUBSET,0.0008783782157031827,0.0009115055660938635
Mouse1_mean_euclid_distances_mean_7.5,0.0008773133078647762,0.0021111437194507475
Animal_1 three-point convex hull perimeter (mm) Center-Lat_left-Tail_end_FEATURE_SUBSET,0.000875202390004641,0.001270156931561718
Mouse1_mean_euclid_distances_mean_6_percentile_rank,0.0008728730325979898,0.001661264056219021
Animal_1 three-point convex hull perimeter (mm) Nose-Lat_left-Tail_base_FEATURE_SUBSET,0.000869702183417345,0.0017752739969002906
Animal_1 three-point convex hull perimeter (mm) Ear_right-Lat_left-Tail_base_FEATURE_SUBSET,0.0008690274694504389,0.0012121282994373263
Mouse1_mean_euclid_distances_sum_7.5,0.0008687177390698606,0.0020073841344465325
Animal_1 three-point convex hull perimeter (mm) Nose-Lat_right-Tail_base_FEATURE_SUBSET,0.0008663200152624559,0.0017491941141415238
Distance (mm) Lat_right-Center_FEATURE_SUBSET,0.0008643759868998675,0.0009339731140028541
Animal_1 three-point convex hull perimeter (mm) Ear_left-Lat_left-Lat_right_FEATURE_SUBSET,0.0008637864580551166,0.0013110309564384605
Animal_1 four-point convex perimeter (mm) Center-Lat_left-Tail_base-Tail_end_FEATURE_SUBSET,0.0008634223560812461,0.0012541753163257837
Animal_1 three-point convex hull perimeter (mm) Ear_left-Ear_right-Lat_right_FEATURE_SUBSET,0.000862789430259109,0.0010157363986737237
Angle (degrees) Ear_right-Lat_right-Tail_base_FEATURE_SUBSET,0.0008606679457204811,0.0011218719061937053
Mouse1_mean_euclid_distances_mean_5_deviation,0.0008569248395816008,0.0016107484330122035
Animal_1 four-point convex perimeter (mm) Ear_right-Nose-Center-Tail_base_FEATURE_SUBSET,0.0008568582311804972,0.00247655203456599
Tail_end_movement_M1_median_6,0.0008561737510661449,0.001207458204187693
Centroid_movement_M1_median_7.5,0.000855284222689276,0.0012732466900437587
Mouse_Centroid_to_lateral_right,0.0008539664583321772,0.0009235523456549029
Animal_1 four-point convex perimeter (mm) Ear_left-Ear_right-Center-Tail_base_FEATURE_SUBSET,0.0008538012012358119,0.0014634352200704928
Animal_1 four-point convex perimeter (mm) Ear_right-Nose-Lat_left-Tail_base_FEATURE_SUBSET,0.0008533701431519823,0.002442477597956568
Angle (degrees) Ear_left-Center-Lat_left_FEATURE_SUBSET,0.0008523044625833759,0.0009288319099849777
Distance (mm) Ear_left-Lat_left_FEATURE_SUBSET,0.0008490002291610603,0.0012106247423541753
Distance (mm) Ear_right-Lat_left_FEATURE_SUBSET,0.000848718912586997,0.0011869460088242483
Animal_1 four-point convex perimeter (mm) Nose-Center-Lat_right-Tail_base_FEATURE_SUBSET,0.0008485568899358191,0.0016995536355002892
Mouse1_width_mean_7.5,0.0008483559064712083,0.0010501898602968509
Mouse1_mean_euclid_distances_mean_2_percentile_rank,0.0008468560180569502,0.001930122092514092
Tail_end_movement_M1_mean_7.5,0.0008445340662232329,0.0010155637662038676
Mouse1_smallest_euclid_distances_sum_7.5,0.0008437650505954619,0.0011232376401552123
