VIDEO,ANIMAL,BODY-PART,MEASURE,VALUE
02Training_rat09,Animal_1,Nose,Distance (cm),242.57160269864684
02Training_rat09,Animal_1,Nose,Velocity (cm/s),32.955046540722954
02Training_rat21,Animal_1,Nose,Distance (cm),407.19012844546666
02Training_rat21,Animal_1,Nose,Velocity (cm/s),14.542504587338096
03Training_rat27,Animal_1,Nose,Distance (cm),540.6953512919341
03Training_rat27,Animal_1,Nose,Velocity (cm/s),14.010120192293945
03Training_rat32,Animal_1,Nose,Distance (cm),539.072716863832
03Training_rat32,Animal_1,Nose,Velocity (cm/s),22.60105433694957
02Training_rat20,Animal_1,Nose,Distance (cm),529.8857140504317
02Training_rat20,Animal_1,Nose,Velocity (cm/s),20.597325199792053
03Training_rat26,Animal_1,Nose,Distance (cm),471.9707349110819
03Training_rat26,Animal_1,Nose,Velocity (cm/s),17.712539017506653
02Training_rat08,Animal_1,Nose,Distance (cm),1466.7373317373135
02Training_rat08,Animal_1,Nose,Velocity (cm/s),22.659673736698924
06Training_rat19,Animal_1,Nose,Distance (cm),922.6162999842347
06Training_rat19,Animal_1,Nose,Velocity (cm/s),20.984421944929135
06Training_rat31,Animal_1,Nose,Distance (cm),2496.8033862217317
06Training_rat31,Animal_1,Nose,Velocity (cm/s),13.975902345444206
06Training_rat25,Animal_1,Nose,Distance (cm),2736.5624032087007
06Training_rat25,Animal_1,Nose,Velocity (cm/s),15.169711450169894
07Training_rat23,Animal_1,Nose,Distance (cm),148.07303902953697
07Training_rat23,Animal_1,Nose,Velocity (cm/s),26.75958430030804
07Training_rat21,Animal_1,Nose,Distance (cm),510.03650072361114
07Training_rat21,Animal_1,Nose,Velocity (cm/s),24.529822564193733
06Training_rat27,Animal_1,Nose,Distance (cm),535.7524630916611
06Training_rat27,Animal_1,Nose,Velocity (cm/s),31.263929696858813
07Training_rat09,Animal_1,Nose,Distance (cm),597.0568020396472
07Training_rat09,Animal_1,Nose,Velocity (cm/s),20.777375526718956
03Training_rat18,Animal_1,Nose,Distance (cm),790.0413379596561
03Training_rat18,Animal_1,Nose,Velocity (cm/s),32.918389081652336
03Training_rat30,Animal_1,Nose,Distance (cm),263.6018121374974
03Training_rat30,Animal_1,Nose,Velocity (cm/s),20.30026047415354
03Training_rat24,Animal_1,Nose,Distance (cm),739.0027242146658
03Training_rat24,Animal_1,Nose,Velocity (cm/s),20.16367470095691
02Training_rat22,Animal_1,Nose,Distance (cm),933.9040120705497
02Training_rat22,Animal_1,Nose,Velocity (cm/s),16.204333767842332
03Training_rat25,Animal_1,Nose,Distance (cm),281.4468515625285
03Training_rat25,Animal_1,Nose,Velocity (cm/s),30.133794092768397
02Training_rat23,Animal_1,Nose,Distance (cm),353.0077086666313
02Training_rat23,Animal_1,Nose,Velocity (cm/s),22.186124741630547
03Training_rat31,Animal_1,Nose,Distance (cm),2057.648767297672
03Training_rat31,Animal_1,Nose,Velocity (cm/s),11.84640575353821
03Training_rat19,Animal_1,Nose,Distance (cm),360.3698330411773
03Training_rat19,Animal_1,Nose,Velocity (cm/s),19.474857161576068
07Training_rat08,Animal_1,Nose,Distance (cm),219.29360561792836
07Training_rat08,Animal_1,Nose,Velocity (cm/s),24.956080454442404
07Training_rat20,Animal_1,Nose,Distance (cm),407.47684609986044
07Training_rat20,Animal_1,Nose,Velocity (cm/s),37.2885210415661
06Training_rat26,Animal_1,Nose,Distance (cm),424.11665056418195
06Training_rat26,Animal_1,Nose,Velocity (cm/s),21.68635610513993
06Training_rat32,Animal_1,Nose,Distance (cm),68.83267969067279
06Training_rat32,Animal_1,Nose,Velocity (cm/s),2.4583099889525997
07Training_rat18,Animal_1,Nose,Distance (cm),514.1469255892619
07Training_rat18,Animal_1,Nose,Velocity (cm/s),32.108708861122764
07Training_rat30,Animal_1,Nose,Distance (cm),149.49135721344334
07Training_rat30,Animal_1,Nose,Velocity (cm/s),22.381266357440296
06Training_rat22,Animal_1,Nose,Distance (cm),727.1523339977597
06Training_rat22,Animal_1,Nose,Velocity (cm/s),25.478520685379447
07Training_rat24,Animal_1,Nose,Distance (cm),106.40602194503842
07Training_rat24,Animal_1,Nose,Velocity (cm/s),41.21606241740888
02Training_rat27,Animal_1,Nose,Distance (cm),940.081389597779
02Training_rat27,Animal_1,Nose,Velocity (cm/s),12.630706011995718
03Training_rat21,Animal_1,Nose,Distance (cm),779.605459984213
03Training_rat21,Animal_1,Nose,Velocity (cm/s),33.895889564531
03Training_rat09,Animal_1,Nose,Distance (cm),641.8921198323751
03Training_rat09,Animal_1,Nose,Velocity (cm/s),20.100280444551785
03Training_rat08,Animal_1,Nose,Distance (cm),1791.7329773011181
03Training_rat08,Animal_1,Nose,Velocity (cm/s),14.220102994453319
02Training_rat26,Animal_1,Nose,Distance (cm),1207.9807420191657
02Training_rat26,Animal_1,Nose,Velocity (cm/s),14.731472463648362
03Training_rat20,Animal_1,Nose,Distance (cm),431.8464814032226
03Training_rat20,Animal_1,Nose,Velocity (cm/s),22.72876217911698
02Training_rat32,Animal_1,Nose,Distance (cm),492.9175977258357
02Training_rat32,Animal_1,Nose,Velocity (cm/s),17.639249467285477
06Training_rat23,Animal_1,Nose,Distance (cm),452.48948541353764
06Training_rat23,Animal_1,Nose,Velocity (cm/s),44.046582973205666
07Training_rat25,Animal_1,Nose,Distance (cm),3009.5391651307364
07Training_rat25,Animal_1,Nose,Velocity (cm/s),16.62728820514219
07Training_rat31,Animal_1,Nose,Distance (cm),373.8655918749421
07Training_rat31,Animal_1,Nose,Velocity (cm/s),19.747615087413838
07Training_rat19,Animal_1,Nose,Distance (cm),2764.6618880236456
07Training_rat19,Animal_1,Nose,Velocity (cm/s),16.049339495977893
06Training_rat09,Animal_1,Nose,Distance (cm),211.59678968635657
06Training_rat09,Animal_1,Nose,Velocity (cm/s),15.114056406168327
07Training_rat27,Animal_1,Nose,Distance (cm),574.765848664387
07Training_rat27,Animal_1,Nose,Velocity (cm/s),24.26113235037056
06Training_rat21,Animal_1,Nose,Distance (cm),431.5377845628127
06Training_rat21,Animal_1,Nose,Velocity (cm/s),17.343423115930666
03Training_rat22,Animal_1,Nose,Distance (cm),2594.6477704130853
03Training_rat22,Animal_1,Nose,Velocity (cm/s),22.807900066091623
02Training_rat24,Animal_1,Nose,Distance (cm),615.2415681528985
02Training_rat24,Animal_1,Nose,Velocity (cm/s),20.567294737152835
02Training_rat30,Animal_1,Nose,Distance (cm),668.0234503560243
02Training_rat30,Animal_1,Nose,Velocity (cm/s),23.960839155790133
02Training_rat18,Animal_1,Nose,Distance (cm),273.82036871485934
02Training_rat18,Animal_1,Nose,Velocity (cm/s),44.845236095486676
02Training_rat19,Animal_1,Nose,Distance (cm),1229.757397095446
02Training_rat19,Animal_1,Nose,Velocity (cm/s),13.082525501015384
02Training_rat31,Animal_1,Nose,Distance (cm),1804.3606595175283
02Training_rat31,Animal_1,Nose,Velocity (cm/s),14.230162414937382
03Training_rat23,Animal_1,Nose,Distance (cm),541.6888857236361
