VIDEO,TIME BIN #,START TIME,END TIME,ANIMAL,BODY-PART,MEASUREMENT,VALUE
01Training_rat02,60,00:01:00.000,00:01:01.000,Animal_1,Center,Movement (cm),6.236401679537876
01Training_rat02,61,00:01:01.000,00:01:02.000,Animal_1,Center,Movement (cm),4.79177757503524
01Training_rat02,62,00:01:02.000,00:01:03.000,Animal_1,Center,Movement (cm),5.341932560432143
01Training_rat02,63,00:01:03.000,00:01:04.000,Animal_1,Center,Movement (cm),8.020802618937765
01Training_rat02,64,00:01:04.000,00:01:05.000,Animal_1,Center,Movement (cm),21.51967588618461
01Training_rat02,65,00:01:05.000,00:01:06.000,Animal_1,Center,Movement (cm),6.7265350462833196
01Training_rat02,66,00:01:06.000,00:01:07.000,Animal_1,Center,Movement (cm),3.0794129344190457
01Training_rat02,67,00:01:07.000,00:01:08.000,Animal_1,Center,Movement (cm),6.764384989283402
01Training_rat02,68,00:01:08.000,00:01:09.000,Animal_1,Center,Movement (cm),4.919622391862578
01Training_rat02,69,00:01:09.000,00:01:10.000,Animal_1,Center,Movement (cm),5.655977086850225
01Training_rat02,70,00:01:10.000,00:01:11.000,Animal_1,Center,Movement (cm),11.931066693693074
01Training_rat02,71,00:01:11.000,00:01:12.000,Animal_1,Center,Movement (cm),27.591215337993486
01Training_rat02,72,00:01:12.000,00:01:13.000,Animal_1,Center,Movement (cm),17.89847167488673
01Training_rat02,73,00:01:13.000,00:01:14.000,Animal_1,Center,Movement (cm),6.028441108350016
01Training_rat02,74,00:01:14.000,00:01:15.000,Animal_1,Center,Movement (cm),10.680180295494273
01Training_rat02,75,00:01:15.000,00:01:16.000,Animal_1,Center,Movement (cm),10.59287990377043
01Training_rat02,76,00:01:16.000,00:01:17.000,Animal_1,Center,Movement (cm),7.2949861786549715
01Training_rat02,77,00:01:17.000,00:01:18.000,Animal_1,Center,Movement (cm),6.754872089389904
01Training_rat02,78,00:01:18.000,00:01:19.000,Animal_1,Center,Movement (cm),4.403291671860743
01Training_rat02,79,00:01:19.000,00:01:20.000,Animal_1,Center,Movement (cm),3.063668343133319
01Training_rat02,80,00:01:20.000,00:01:21.000,Animal_1,Center,Movement (cm),3.4883361639974995
01Training_rat02,81,00:01:21.000,00:01:22.000,Animal_1,Center,Movement (cm),3.460155836772836
01Training_rat02,82,00:01:22.000,00:01:23.000,Animal_1,Center,Movement (cm),4.625445455171463
01Training_rat02,83,00:01:23.000,00:01:24.000,Animal_1,Center,Movement (cm),16.0144590986794
01Training_rat02,84,00:01:24.000,00:01:25.000,Animal_1,Center,Movement (cm),12.47607461836199
01Training_rat02,85,00:01:25.000,00:01:26.000,Animal_1,Center,Movement (cm),8.10776871515311
01Training_rat02,86,00:01:26.000,00:01:27.000,Animal_1,Center,Movement (cm),3.3646980758187217
01Training_rat02,87,00:01:27.000,00:01:28.000,Animal_1,Center,Movement (cm),1.7610749556171061
01Training_rat02,88,00:01:28.000,00:01:29.000,Animal_1,Center,Movement (cm),4.006892338152024
01Training_rat02,89,00:01:29.000,00:01:30.000,Animal_1,Center,Movement (cm),4.360682086312464
01Training_rat02,90,00:01:30.000,00:01:31.000,Animal_1,Center,Movement (cm),20.002068680672686
01Training_rat02,91,00:01:31.000,00:01:32.000,Animal_1,Center,Movement (cm),15.363009549709156
01Training_rat02,92,00:01:32.000,00:01:33.000,Animal_1,Center,Movement (cm),1.6719921109298805
